Time,target_cpu,__cpu,curr_state,next_state,t_start,t_delta
0.136431,,3.0,S,W,0.136431,1.00000002021e-05
0.136441,3.0,,W,A,0.136441,3.9999999899e-06
0.136445,,3.0,A,S,0.136445,0.000551999999971
0.136997,,3.0,S,W,0.136997,9.99999974738e-06
0.137007,3.0,,W,A,0.137007,3.9999999899e-06
0.137011,,3.0,A,S,0.137011,0.00366800000029
0.140679,,3.0,S,W,0.140679,0.000191000000086
0.14087,3.0,,W,A,0.14087,3.69999997929e-05
0.140907,,3.0,A,R,0.140907,0.000131000000238
0.141038,,3.0,R,A,0.141038,1.99999999495e-05
0.141058,,3.0,A,R,0.141058,0.000115999999707
0.141174,,3.0,R,A,0.141174,1.59999999596e-05
0.14119,,3.0,A,R+,0.14119,0.00144200000022
0.142632,,3.0,R+,A,0.142632,0.000378000000183
0.14301,,3.0,A,S,0.14301,0.000320999999985
0.143331,,3.0,S,W,0.143331,0.000639999999748
0.143971,3.0,,W,A,0.143971,7.9999999798e-06
0.143979,,3.0,A,S,0.143979,1.90000000657e-05
0.143998,,3.0,S,W,0.143998,8.99999986359e-06
0.144007,3.0,,W,A,0.144007,3.9999999899e-06
0.144011,,3.0,A,S,0.144011,3.10000000354e-05
0.144042,,3.0,S,W,0.144042,0.0057710000001
0.149813,2.0,,W,A,0.149813,3.00000001516e-05
0.149843,,2.0,A,R,0.149843,6.89999997121e-05
0.149912,,2.0,R,A,0.149912,1.00000002021e-05
0.149922,,2.0,A,R,0.149922,0.00298199999997
0.152904,,2.0,R,A,0.152904,1.50000000758e-05
0.152919,,2.0,A,R,0.152919,0.000142999999753
0.153062,,2.0,R,A,0.153062,6.40000002932e-05
0.153126,,2.0,A,R+,0.153126,0.00187199999982
0.154998,,2.0,R+,A,0.154998,0.000256000000263
0.155254,,2.0,A,R+,0.155254,0.000882999999703
0.156137,,2.0,R+,A,0.156137,6.60000000607e-05
0.156203,,2.0,A,R+,0.156203,0.000276000000213
0.156479,,2.0,R+,A,0.156479,0.000368999999864
0.156848,,2.0,A,R+,0.156848,0.000801000000138
0.157649,,2.0,R+,A,0.157649,0.00112999999965
0.158779,,2.0,A,R,0.158779,0.000660000000153
0.159439,,2.0,R,A,0.159439,3.9999999899e-05
0.159479,,2.0,A,R+,0.159479,0.000561000000289
0.16004,,2.0,R+,A,0.16004,0.000196999999844
0.160237,,2.0,A,R+,0.160237,0.00137300000006
0.16161,,2.0,R+,A,0.16161,0.000201999999717
0.161812,,2.0,A,S,0.161812,2.50000002779e-05
0.161837,,2.0,S,W,0.161837,0.00160000000005
0.163437,3.0,,W,A,0.163437,6.39999998384e-05
0.163501,,3.0,A,S,0.163501,0.000215999999909
0.163717,,3.0,S,W,0.163717,0.00624900000003
0.169966,3.0,,W,A,0.169966,0.000140000000101
0.170106,,3.0,A,R,0.170106,1.99999999495e-05
0.170126,,3.0,R,A,0.170126,3.40000001415e-05
0.17016,,3.0,A,R+,0.17016,3.79999996767e-05
0.170198,,3.0,R+,A,0.170198,8.00000043455e-06
